PLAYER,YEAR,POS,TEAM,CAP HIT,SALARY PERCENTAGE
Sean Couturier,2017,C,PHI,4333333,0.059
Sean Couturier,2020,C,PHI,4333333,0.053
Milan Michalek,2013,LW,OTT,4333333,0.067
Devan Dubnyk,2016,G,MIN,4333333,0.059
Dmitry Kulikov,2015,D,FLA,4333333,0.061
Devan Dubnyk,2020,G,COL,4333333,0.053
Dmitry Kulikov,2018,D,WPG,4333333,0.055
Sean Couturier,2018,C,PHI,4333333,0.055
Sean Couturier,2019,C,PHI,4333333,0.053
Sean Couturier,2021,C,PHI,4333333,0.053
Devan Dubnyk,2017,G,MIN,4333333,0.058
Dmitry Kulikov,2014,D,FLA,4333333,0.063
Devan Dubnyk,2015,G,MIN,4333333,0.061
Sean Couturier,2016,C,PHI,4333333,0.059
Michael Frolik,2018,RW,CGY,4300000,0.054
Michael Frolik,2016,RW,CGY,4300000,0.059
Cody Ceci,2018,D,OTT,4300000,0.054
Michael Frolik,2019,RW,BUF,4300000,0.053
Braden Holtby,2020,G,VAN,4300000,0.054
Michael Frolik,2017,RW,CGY,4300000,0.058
Michael Frolik,2015,RW,CGY,4300000,0.06
Ryan Callahan,2011,RW,NYR,4275000,0.067
Ryan Callahan,2012,RW,NYR,4275000,0.061
Loui Eriksson,2015,RW,BOS,4250000,0.06
Justin Abdelkader,2017,LW,DET,4250000,0.057
Jonathan Ericsson,2017,D,DET,4250000,0.057
James Van Riemsdyk,2016,LW,TOR,4250000,0.059
John Klingberg,2018,D,DAL,4250000,0.054
Anton Volchenkov,2012,D,NJD,4250000,0.061
Kevin Shattenkirk,2015,D,STL,4250000,0.06
John Klingberg,2019,D,DAL,4250000,0.053
John Klingberg,2021,D,DAL,4250000,0.053
David Booth,2012,LW,VAN,4250000,0.061
Jonathan Ericsson,2015,D,DET,4250000,0.06
Kyle Quincey,2015,D,DET,4250000,0.06
Anton Volchenkov,2011,D,NJD,4250000,0.066
Antti Raanta,2020,G,AZ,4250000,0.052
Patric Hornqvist,2016,RW,PIT,4250000,0.058
Anton Volchenkov,2013,D,NJD,4250000,0.066
Marc-Edouard Vlasic,2014,D,SJS,4250000,0.062
Loui Eriksson,2012,RW,DAL,4250000,0.061
Tyler Toffoli,2020,RW,MTL,4250000,0.052
David Savard,2016,D,CBJ,4250000,0.058
Justin Abdelkader,2018,LW,DET,4250000,0.054
James Van Riemsdyk,2013,LW,TOR,4250000,0.066
Jonathan Ericsson,2018,D,DET,4250000,0.054
Viktor Arvidsson,2017,LW,NSH,4250000,0.057
Craig Smith,2017,C,NSH,4250000,0.057
Viktor Arvidsson,2021,LW,LAK,4250000,0.052
David Savard,2020,D,TBL,4250000,0.052
Justin Abdelkader,2019,LW,DET,4250000,0.052
Joffrey Lupul,2011,RW,TOR,4250000,0.066
Loui Eriksson,2013,RW,BOS,4250000,0.066
Tomas Kaberle,2011,D,CAR,4250000,0.066
Marc-Edouard Vlasic,2016,D,SJS,4250000,0.058
Craig Smith,2015,C,NSH,4250000,0.06
Viktor Arvidsson,2020,LW,NSH,4250000,0.052
Kevin Shattenkirk,2014,D,STL,4250000,0.062
Tomas Kaberle,2012,D,MTL,4250000,0.061
James Van Riemsdyk,2017,LW,TOR,4250000,0.061
Loui Eriksson,2014,RW,BOS,4250000,0.066
Jakub Voracek,2015,RW,PHI,4250000,0.06
John Klingberg,2016,D,DAL,4250000,0.058
Antti Raanta,2019,G,AZ,4250000,0.052
Marc-Edouard Vlasic,2013,D,SJS,4250000,0.066
Kevin Shattenkirk,2016,D,WAS,4250000,0.058
Jonathan Ericsson,2014,D,DET,4250000,0.064
Kyle Quincey,2014,D,DET,4250000,0.064
James Van Riemsdyk,2015,LW,TOR,4250000,0.06
Loui Eriksson,2011,RW,DAL,4250000,0.066
Willie Mitchell,2015,D,FLA,4250000,0.06
David Booth,2013,LW,VAN,4250000,0.066
Craig Smith,2018,C,NSH,4250000,0.054
Viktor Arvidsson,2018,LW,NSH,4250000,0.054
Patric Hornqvist,2017,RW,PIT,4250000,0.057
Brian Gionta,2015,RW,BUF,4250000,0.06
Craig Smith,2019,C,NSH,4250000,0.052
Viktor Arvidsson,2019,LW,NSH,4250000,0.052
Ian Cole,2018,D,COL,4250000,0.054
Jakub Voracek,2012,RW,PHI,4250000,0.061
Antti Raanta,2018,G,AZ,4250000,0.054
David Savard,2017,D,CBJ,4250000,0.057
David Booth,2011,LW,VAN,4250000,0.066
Justin Abdelkader,2016,LW,DET,4250000,0.059
Jonathan Ericsson,2016,D,DET,4250000,0.059
Patric Hornqvist,2015,RW,PIT,4250000,0.06
Kevin Shattenkirk,2013,D,STL,4250000,0.066
Ian Cole,2019,D,COL,4250000,0.052
Joffrey Lupul,2012,RW,TOR,4250000,0.061
James Van Riemsdyk,2012,LW,TOR,4250000,0.061
Patric Hornqvist,2013,RW,NSH,4250000,0.066
Cody Hodgson,2013,C,BUF,4250000,0.066
Jakub Voracek,2014,RW,PHI,4250000,0.062
Brian Gionta,2014,RW,BUF,4250000,0.062
Jakub Voracek,2013,RW,PHI,4250000,0.066
Cody Hodgson,2014,C,BUF,4250000,0.062
Marc-Edouard Vlasic,2017,D,SJS,4250000,0.057
David Savard,2018,D,CBJ,4250000,0.054
James Van Riemsdyk,2014,LW,TOR,4250000,0.062
John Klingberg,2017,D,DAL,4250000,0.055
Marc-Edouard Vlasic,2015,D,SJS,4250000,0.06
Willie Mitchell,2014,D,FLA,4250000,0.062
David Savard,2019,D,CBJ,4250000,0.052
Craig Smith,2016,C,NSH,4250000,0.058
Dustin Penner,2011,RW,LAK,4250000,0.066
Tyler Toffoli,2021,RW,MTL,4250000,0.053
John Klingberg,2015,D,DAL,4250000,0.06
John Klingberg,2020,D,DAL,4250000,0.054
Patric Hornqvist,2014,RW,PIT,4250000,0.062
Brock Nelson,2018,C,NYI,4250000,0.054
Brian Gionta,2016,RW,BUF,4250000,0.058
Ian Cole,2020,D,MIN,4250000,0.052
Tyler Bozak,2016,C,TOR,4200000,0.058
Brandon Dubinsky,2013,C,CBJ,4200000,0.065
Craig Anderson,2017,G,OTT,4200000,0.051
Keith Ballard,2012,D,VAN,4200000,0.06
Craig Anderson,2015,G,OTT,4200000,0.059
Tyler Bozak,2013,C,TOR,4200000,0.065
Tyler Bozak,2017,C,TOR,4200000,0.06
Scott Hartnell,2011,LW,PHI,4200000,0.065
Tyler Bozak,2015,C,TOR,4200000,0.059
Scott Hartnell,2012,LW,PHI,4200000,0.06
Keith Ballard,2011,D,VAN,4200000,0.065
Mike Fisher,2014,C,NSH,4200000,0.063
Mike Fisher,2012,C,NSH,4200000,0.06
Craig Anderson,2016,G,OTT,4200000,0.058
Mike Fisher,2013,C,NSH,4200000,0.065
Brandon Dubinsky,2011,C,NYR,4200000,0.065
Brandon Dubinsky,2014,C,CBJ,4200000,0.061
Mike Fisher,2011,C,NSH,4200000,0.065
Tyler Bozak,2014,C,TOR,4200000,0.061
Brandon Dubinsky,2012,C,CBJ,4200000,0.06
John-Michael Liles,2011,D,TBL,4200000,0.065
Nikolai Kulemin,2014,LW,NYI,4187500,0.061
Nikolai Kulemin,2016,LW,NYI,4187500,0.057
Nikolai Kulemin,2017,LW,NYI,4187500,0.054
Nikolai Kulemin,2015,LW,NYI,4187500,0.059
T.J. Oshie,2014,RW,STL,4175000,0.061
T.J. Oshie,2016,RW,WAS,4175000,0.057
T.J. Oshie,2013,RW,STL,4175000,0.065
T.J. Oshie,2015,RW,WAS,4175000,0.059
T.J. Oshie,2012,RW,STL,4175000,0.06
Oscar Klefbom,2017,D,EDM,4167000,0.06
Oscar Klefbom,2020,D,EDM,4167000,0.051
Oscar Klefbom,2018,D,EDM,4167000,0.052
Oscar Klefbom,2019,D,EDM,4167000,0.051
Oscar Klefbom,2021,D,EDM,4167000,0.052
Oscar Klefbom,2016,D,EDM,4167000,0.057
Slava Voynov,2014,D,LAK,4166666,0.06
Jonas Brodin,2018,D,MIN,4166666,0.052
Jonas Brodin,2019,D,MIN,4166666,0.051
Adam Larsson,2017,D,EDM,4166666,0.06
Cameron Talbot,2017,G,EDM,4166666,0.06
Slava Voynov,2016,D,LAK,4166666,0.057
Adam Larsson,2020,D,EDM,4166666,0.051
Adam Larsson,2018,D,EDM,4166666,0.052
Slava Voynov,2013,D,LAK,4166666,0.065
Damon Severson,2017,D,NJD,4166666,0.056
Jonas Brodin,2016,D,MIN,4166666,0.057
Damon Severson,2021,D,NJD,4166666,0.051
Adam Larsson,2019,D,EDM,4166666,0.051
Damon Severson,2020,D,NJD,4166666,0.051
Adam Larsson,2015,D,NJD,4166666,0.058
Cameron Talbot,2018,G,PHI,4166666,0.052
Slava Voynov,2015,D,LAK,4166666,0.058
Damon Severson,2018,D,NJD,4166666,0.052
Damon Severson,2019,D,NJD,4166666,0.051
Cameron Talbot,2016,G,EDM,4166666,0.057
Adam Larsson,2016,D,EDM,4166666,0.057
Jonas Brodin,2017,D,MIN,4166666,0.056
Jonas Brodin,2015,D,MIN,4166666,0.058
Jonas Brodin,2020,D,MIN,4166666,0.051
Scott Darling,2017,G,CAR,4150000,0.055
Jonathan Bernier,2016,G,ANA,4150000,0.057
Jonathan Bernier,2015,G,TOR,4150000,0.058
Mathieu Perreault,2017,C,WPG,4125000,0.055
Mathieu Perreault,2020,C,WPG,4125000,0.051
Ed Jovanovski,2012,D,FLA,4125000,0.059
Jonathan Bernier,2021,G,NJD,4125000,0.051
Mathieu Perreault,2019,C,WPG,4125000,0.051
Ed Jovanovski,2011,D,FLA,4125000,0.064
Mathieu Perreault,2018,C,WPG,4125000,0.052
Andrej Meszaros,2014,D,BUF,4125000,0.06
Ed Jovanovski,2013,D,FLA,4125000,0.064
Nick Bonino,2020,C,MIN,4100000,0.05
Nick Bjugstad,2020,C,MIN,4100000,0.05
Brandon Carlo,2021,D,BOS,4100000,0.052
Niklas Hjalmarsson,2014,D,CHI,4100000,0.06
Brian Dumoulin,2021,D,PIT,4100000,0.05
Nick Bjugstad,2016,C,FLA,4100000,0.057
Alexei Emelin,2015,D,MTL,4100000,0.057
Ales Hemsky,2011,RW,EDM,4100000,0.064
Nick Bonino,2017,C,NSH,4100000,0.055
Steve Mason,2017,G,WPG,4100000,0.055
Alexei Emelin,2017,D,NSH,4100000,0.055
Niklas Hjalmarsson,2015,D,CHI,4100000,0.058
Brenden Morrow,2012,LW,PIT,4100000,0.058
Josh Manson,2020,D,ANA,4100000,0.05
Josh Manson,2021,D,ANA,4100000,0.05
Mark Streit,2012,D,NYI,4100000,0.058
Nick Bjugstad,2017,C,FLA,4100000,0.055
Steve Mason,2015,G,PHI,4100000,0.057
Mark Streit,2011,D,NYI,4100000,0.064
Alexei Emelin,2014,D,MTL,4100000,0.059
Niklas Hjalmarsson,2017,D,AZ,4100000,0.057
Nazem Kadri,2015,C,TOR,4100000,0.057
Brenden Morrow,2011,LW,DAL,4100000,0.064
Nick Bjugstad,2015,C,FLA,4100000,0.057
Devon Toews,2021,D,COL,4100000,0.051
Nick Bonino,2018,C,NSH,4100000,0.052
Devon Toews,2020,D,COL,4100000,0.05
Josh Manson,2019,D,ANA,4100000,0.05
Brian Dumoulin,2017,D,PIT,4100000,0.055
Nick Bonino,2019,C,NSH,4100000,0.05
Niklas Hjalmarsson,2018,D,AZ,4100000,0.052
Brian Dumoulin,2020,D,PIT,4100000,0.05
Alexei Emelin,2016,D,MTL,4100000,0.056
Steve Mason,2014,G,PHI,4100000,0.06
Josh Manson,2018,D,ANA,4100000,0.052
Niklas Hjalmarsson,2016,D,CHI,4100000,0.059
Nick Bjugstad,2019,C,PIT,4100000,0.05
Brian Dumoulin,2019,D,PIT,4100000,0.05
Nick Bjugstad,2018,C,PIT,4100000,0.052
Brian Dumoulin,2018,D,PIT,4100000,0.052
Steve Mason,2016,G,PHI,4100000,0.056
Olli Maatta,2016,D,PIT,4083333,0.056
Olli Maatta,2021,D,LAK,4083333,0.05
Milan Lucic,2011,LW,BOS,4083333,0.064
Olli Maatta,2019,D,CHI,4083333,0.05
Olli Maatta,2017,D,PIT,4083333,0.055
Milan Lucic,2012,LW,BOS,4083333,0.058
Olli Maatta,2020,D,LAK,4083333,0.05
Olli Maatta,2018,D,PIT,4083333,0.051
Pierre-Marc Bouchard,2012,C,MIN,4080000,0.058
Pierre-Marc Bouchard,2011,C,MIN,4080000,0.064
Nik Antropov,2011,RW,WPG,4062500,0.063
Nik Antropov,2012,RW,WPG,4062500,0.058
Jake Gardiner,2016,D,TOR,4050000,0.056
Jake Gardiner,2020,D,CAR,4050000,0.051
Jake Gardiner,2019,D,CAR,4050000,0.05
Jake Gardiner,2017,D,TOR,4050000,0.058
Jake Gardiner,2015,D,TOR,4050000,0.057
Jake Gardiner,2018,D,TOR,4050000,0.053
Jake Gardiner,2014,D,TOR,4050000,0.059
Jake Gardiner,2021,D,CAR,4050000,0.05
Marc Savard,2016,C,NJD,4027143,0.055
Marc Savard,2013,C,BOS,4027143,0.063
Marc Savard,2014,C,BOS,4027143,0.063
Marc Savard,2011,C,BOS,4027143,0.063
Marc Savard,2015,C,FLA,4027143,0.056
Marc Savard,2012,C,BOS,4027143,0.057
Marcus Pettersson,2021,D,PIT,4025175,0.049
Marcus Pettersson,2020,D,PIT,4025175,0.049
Brett Pesce,2020,D,CAR,4025000,0.05
Brett Pesce,2018,D,CAR,4025000,0.051
Brett Pesce,2019,D,CAR,4025000,0.049
Brett Pesce,2021,D,CAR,4025000,0.049
Mark Giordano,2011,D,CGY,4020000,0.063
Mark Giordano,2014,D,CGY,4020000,0.058
Mark Giordano,2013,D,CGY,4020000,0.063
Mark Giordano,2012,D,CGY,4020000,0.057
Robyn Regehr,2012,D,LAK,4020000,0.057
Robyn Regehr,2011,D,BUF,4020000,0.063
Mark Giordano,2015,D,CGY,4020000,0.056
Victor Rask,2017,C,CAR,4000000,0.053
Victor Rask,2020,C,MIN,4000000,0.049
Dennis Seidenberg,2015,D,BOS,4000000,0.057
Bryan Bickell,2014,LW,CHI,4000000,0.058
Jordan Staal,2011,C,PIT,4000000,0.062
Zbynek Michalek,2011,D,PIT,4000000,0.062
Tom Gilbert,2012,D,MIN,4000000,0.057
Marek Zidlicky,2012,D,NJD,4000000,0.057
Jaromir Jagr,2016,RW,FLA,4000000,0.056
Jussi Jokinen,2016,LW,FLA,4000000,0.056
Christian Ehrhoff,2012,D,BUF,4000000,0.057
Mike Hoffman,2020,LW,STL,4000000,0.05
David Perron,2020,LW,STL,4000000,0.05
Drew Stafford,2012,RW,BUF,4000000,0.057
Justin Schultz,2020,D,WAS,4000000,0.049
Adam Henrique,2016,C,NJD,4000000,0.055
Derek Roy,2012,C,VAN,4000000,0.057
Victor Rask,2018,C,MIN,4000000,0.05
Cory Schneider,2012,G,VAN,4000000,0.057
Alec Martinez,2019,D,VGK,4000000,0.049
Carl Hagelin,2016,LW,PIT,4000000,0.055
Cory Schneider,2013,G,NJD,4000000,0.062
Adam Henrique,2013,C,NJD,4000000,0.062
Victor Rask,2019,C,MIN,4000000,0.049
Vladislav Namestnikov,2018,C,NYR,4000000,0.05
Ales Hemsky,2014,RW,DAL,4000000,0.058
Teemu Selanne,2011,RW,ANA,4000000,0.062
Jason Blake,2011,LW,ANA,4000000,0.062
Jake McCabe,2021,D,CHI,4000000,0.049
Marek Zidlicky,2011,D,MIN,4000000,0.062
Jiri Hudler,2014,LW,CGY,4000000,0.058
Kris Russell,2017,D,EDM,4000000,0.057
David Jones,2014,RW,CGY,4000000,0.058
Tom Gilbert,2011,D,EDM,4000000,0.062
Ryan Whitney,2011,D,EDM,4000000,0.062
Bryan Bickell,2013,LW,CHI,4000000,0.062
Daniel Briere,2013,RW,MTL,4000000,0.062
Roman Josi,2017,D,NSH,4000000,0.053
Jacob Muzzin,2016,D,LAK,4000000,0.055
Jiri Hudler,2013,LW,CGY,4000000,0.062
Alex Iafallo,2021,C,LAK,4000000,0.049
Alec Martinez,2016,D,LAK,4000000,0.055
Jimmy Howard,2019,G,DET,4000000,0.049
David Jones,2013,RW,CGY,4000000,0.062
Victor Hedman,2015,D,TBL,4000000,0.056
David Perron,2019,LW,STL,4000000,0.049
Cam Fowler,2014,D,ANA,4000000,0.059
Marco Scandella,2019,D,STL,4000000,0.049
David Perron,2018,LW,STL,4000000,0.05
Benoit Pouliot,2015,LW,EDM,4000000,0.056
Filip Kuba,2012,D,FLA,4000000,0.057
Victor Hedman,2012,D,TBL,4000000,0.057
Kris Russell,2020,D,EDM,4000000,0.049
Petr Mrazek,2017,G,PHI,4000000,0.054
Michael Stone,2016,D,CGY,4000000,0.055
Joe Pavelski,2011,LW,SJS,4000000,0.062
Mikkel Boedker,2016,LW,SJS,4000000,0.055
Carl Hagelin,2018,LW,WAS,4000000,0.05
Roman Josi,2015,D,NSH,4000000,0.056
Erik Gudbranson,2020,D,NSH,4000000,0.049
Ryan Johansen,2015,C,NSH,4000000,0.056
Daniel Briere,2014,RW,COL,4000000,0.058
Mikkel Boedker,2018,LW,OTT,4000000,0.05
Robin Lehner,2017,G,BUF,4000000,0.053
Marco Scandella,2017,D,BUF,4000000,0.053
Mikkel Boedker,2019,LW,OTT,4000000,0.049
Jiri Hudler,2012,LW,CGY,4000000,0.057
Andrej Meszaros,2011,D,PHI,4000000,0.062
Dennis Seidenberg,2014,D,BOS,4000000,0.063
Evgeni Dadonov,2017,LW,FLA,4000000,0.053
Kris Russell,2018,D,EDM,4000000,0.05
Ales Hemsky,2016,RW,DAL,4000000,0.055
Joe Pavelski,2013,LW,SJS,4000000,0.062
Pierre-Alexandre Parenteau,2014,RW,MTL,4000000,0.058
Kevin Bieksa,2016,D,ANA,4000000,0.055
Marco Scandella,2016,D,MIN,4000000,0.055
Nathan Horton,2011,RW,BOS,4000000,0.062
Cam Fowler,2016,D,ANA,4000000,0.055
David Jones,2012,RW,COL,4000000,0.057
Pierre-Alexandre Parenteau,2012,RW,COL,4000000,0.057
Milan Michalek,2015,LW,TOR,4000000,0.056
Kris Russell,2019,D,EDM,4000000,0.049
Milan Michalek,2014,LW,OTT,4000000,0.058
Jiri Hudler,2015,LW,FLA,4000000,0.056
Jussi Jokinen,2015,LW,FLA,4000000,0.056
Roman Josi,2018,D,NSH,4000000,0.05
Carl Hagelin,2017,LW,PIT,4000000,0.053
Erik Gudbranson,2019,D,ANA,4000000,0.049
Justin Schultz,2021,D,WAS,4000000,0.049
Bryan Bickell,2016,LW,CAR,4000000,0.055
Victor Rask,2021,C,MIN,4000000,0.049
Victor Rask,2016,C,CAR,4000000,0.055
Victor Hedman,2014,D,TBL,4000000,0.058
Roman Josi,2019,D,NSH,4000000,0.049
Adam Henrique,2015,C,NJD,4000000,0.056
Pierre-Alexandre Parenteau,2013,RW,COL,4000000,0.062
Jacob Muzzin,2017,D,LAK,4000000,0.053
Andrej Meszaros,2012,D,PHI,4000000,0.057
Alec Martinez,2017,D,LAK,4000000,0.053
Brad Boyes,2011,RW,STL,4000000,0.062
Petr Mrazek,2016,G,DET,4000000,0.055
Marco Scandella,2018,D,BUF,4000000,0.05
Carl Hagelin,2015,LW,PIT,4000000,0.056
Benoit Pouliot,2014,LW,EDM,4000000,0.058
Derek Roy,2013,C,STL,4000000,0.062
Joe Pavelski,2012,LW,SJS,4000000,0.057
Vladislav Namestnikov,2019,C,COL,4000000,0.049
Nathan Horton,2012,RW,BOS,4000000,0.057
Roman Josi,2014,D,NSH,4000000,0.06
Evgeni Dadonov,2018,LW,FLA,4000000,0.05
Jacob Muzzin,2019,D,TOR,4000000,0.049
Jacob Muzzin,2018,D,TOR,4000000,0.052
Cam Fowler,2013,D,ANA,4000000,0.062
Adam Larsson,2021,D,SEA,4000000,0.049
Evgeni Dadonov,2019,LW,FLA,4000000,0.049
Alec Martinez,2015,D,LAK,4000000,0.056
Christian Ehrhoff,2013,D,BUF,4000000,0.062
Jacob Muzzin,2015,D,LAK,4000000,0.056
Roman Josi,2013,D,NSH,4000000,0.062
Drew Stafford,2013,RW,BUF,4000000,0.062
Elvis Merzlikins,2020,G,CBJ,4000000,0.049
Victor Hedman,2016,D,TBL,4000000,0.055
Mikkel Boedker,2017,LW,SJS,4000000,0.054
Adam Henrique,2018,C,ANA,4000000,0.05
Ryan Johansen,2014,C,CBJ,4000000,0.058
Jordan Staal,2012,C,CAR,4000000,0.057
Tim Gleason,2012,D,CAR,4000000,0.057
Christian Ehrhoff,2011,D,BUF,4000000,0.062
Elvis Merzlikins,2021,G,CBJ,4000000,0.049
Derek Roy,2011,C,BUF,4000000,0.062
Adam Henrique,2017,C,ANA,4000000,0.053
Drew Stafford,2011,RW,BUF,4000000,0.062
Kevin Bieksa,2017,D,ANA,4000000,0.053
Cam Fowler,2017,D,ANA,4000000,0.053
Cam Fowler,2015,D,ANA,4000000,0.056
Benoit Pouliot,2016,LW,EDM,4000000,0.055
Erik Gudbranson,2018,D,PIT,4000000,0.05
Jussi Jokinen,2014,LW,FLA,4000000,0.058
Cory Schneider,2014,G,NJD,4000000,0.06
Alec Martinez,2020,D,VGK,4000000,0.049
Ryan Johansen,2016,C,NSH,4000000,0.055
Adam Henrique,2014,C,NJD,4000000,0.06
Roman Josi,2016,D,NSH,4000000,0.055
Alec Martinez,2018,D,LAK,4000000,0.05
Ryan Spooner,2018,C,VAN,4000000,0.05
David Perron,2021,LW,STL,4000000,0.049
Ales Hemsky,2015,RW,DAL,4000000,0.056
Victor Hedman,2013,D,TBL,4000000,0.062
Ryan Whitney,2012,D,EDM,4000000,0.057
David Jones,2015,RW,MIN,4000000,0.056
Marco Scandella,2015,D,MIN,4000000,0.056
Christian Ehrhoff,2014,D,PIT,4000000,0.058
Zdeno Chara,2017,D,BOS,4000000,0.053
Marc Staal,2014,D,NYR,3975000,0.058
Wayne Simmonds,2017,RW,PHI,3975000,0.054
Wayne Simmonds,2015,RW,PHI,3975000,0.056
Wayne Simmonds,2018,RW,NSH,3975000,0.05
Wayne Simmonds,2014,RW,PHI,3975000,0.058
Marc Staal,2011,D,NYR,3975000,0.062
Wayne Simmonds,2013,RW,PHI,3975000,0.062
Marc Staal,2012,D,NYR,3975000,0.057
Wayne Simmonds,2016,RW,PHI,3975000,0.055
Marc Staal,2013,D,NYR,3975000,0.062
John Carlson,2017,D,WAS,3966667,0.053
John Carlson,2014,D,WAS,3966667,0.058
John Carlson,2012,D,WAS,3966667,0.057
John Carlson,2016,D,WAS,3966667,0.054
John Carlson,2013,D,WAS,3966667,0.062
John Carlson,2015,D,WAS,3966667,0.056
Johan Franzen,2017,LW,DET,3954545,0.053
Johan Franzen,2015,LW,DET,3954545,0.056
Johan Franzen,2018,LW,DET,3954545,0.05
Johan Franzen,2019,LW,DET,3954545,0.049
Johan Franzen,2014,LW,DET,3954545,0.06
Johan Franzen,2012,LW,DET,3954545,0.056
Johan Franzen,2016,LW,DET,3954545,0.055
Johan Franzen,2011,LW,DET,3954545,0.062
Johan Franzen,2013,LW,DET,3954545,0.062
Jason Demers,2020,D,AZ,3937500,0.048
Colin Wilson,2015,C,NSH,3937500,0.055
Colin Wilson,2017,C,COL,3937500,0.053
Jason Demers,2019,D,AZ,3937500,0.048
Jason Demers,2017,D,AZ,3937500,0.054
Colin Wilson,2018,C,COL,3937500,0.05
Jason Demers,2018,D,AZ,3937500,0.05
Colin Wilson,2016,C,NSH,3937500,0.054
Dennis Wideman,2011,D,WAS,3937500,0.061
Ondrej Pavelec,2013,G,WPG,3900000,0.061
Andrew Shaw,2017,C,MTL,3900000,0.052
Brenden Dillon,2020,D,WAS,3900000,0.048
Ondrej Pavelec,2015,G,WPG,3900000,0.055
Andrew Shaw,2021,C,CHI,3900000,0.048
Josh Gorges,2013,D,MTL,3900000,0.061
Andrew Shaw,2018,C,MTL,3900000,0.049
Andrew Shaw,2020,C,CHI,3900000,0.049
Kevin Shattenkirk,2020,D,ANA,3900000,0.048
Kevin Shattenkirk,2021,D,ANA,3900000,0.048
Josh Gorges,2012,D,MTL,3900000,0.056
Josh Gorges,2017,D,BUF,3900000,0.052
Andrew Shaw,2019,C,CHI,3900000,0.048
Ondrej Pavelec,2014,G,WPG,3900000,0.057
Joonas Donskoi,2020,RW,COL,3900000,0.048
Josh Gorges,2015,D,BUF,3900000,0.055
Ondrej Pavelec,2016,G,WPG,3900000,0.053
Justin Schultz,2015,D,PIT,3900000,0.055
Joonas Donskoi,2019,RW,COL,3900000,0.048
Andrew Shaw,2016,C,MTL,3900000,0.053
Patrick Sharp,2011,LW,CHI,3900000,0.061
Joonas Donskoi,2021,RW,SEA,3900000,0.048
Josh Gorges,2014,D,BUF,3900000,0.057
Ondrej Pavelec,2012,G,WPG,3900000,0.056
Brenden Dillon,2021,D,WPG,3900000,0.048
Josh Gorges,2016,D,BUF,3900000,0.053
Travis Zajac,2012,C,NJD,3887500,0.055
Travis Zajac,2011,C,NJD,3887500,0.061
Shane Doan,2016,RW,AZ,3876134,0.053
Eric Brewer,2011,D,TBL,3875000,0.06
John-Michael Liles,2015,D,BOS,3875000,0.055
Colin Miller,2018,D,VGK,3875000,0.049
Colin Miller,2021,D,BUF,3875000,0.048
Colin Miller,2020,D,BUF,3875000,0.048
Eric Brewer,2012,D,TBL,3875000,0.055
Michael Del Zotto,2015,D,PHI,3875000,0.054
Colin Miller,2019,D,BUF,3875000,0.048
John-Michael Liles,2014,D,CAR,3875000,0.056
John-Michael Liles,2012,D,TOR,3875000,0.055
Sean Avery,2011,LW,NYR,3875000,0.06
Eric Brewer,2013,D,TBL,3875000,0.06
Michael Del Zotto,2016,D,PHI,3875000,0.053
Travis Hamonic,2019,D,CGY,3857143,0.047
Travis Hamonic,2018,D,CGY,3857143,0.049
Travis Hamonic,2014,D,NYI,3857143,0.056
Travis Hamonic,2016,D,NYI,3857143,0.053
Travis Hamonic,2013,D,NYI,3857143,0.06
Travis Hamonic,2017,D,CGY,3857143,0.052
Travis Hamonic,2015,D,NYI,3857143,0.054
Rickard Rakell,2016,C,ANA,3853672,0.053
Patrik Berglund,2017,C,STL,3850000,0.051
Darren Helm,2017,C,DET,3850000,0.052
Connor Murphy,2016,D,AZ,3850000,0.053
Darren Helm,2020,C,DET,3850000,0.047
Cody Eakin,2018,C,VGK,3850000,0.049
Chris Kunitz,2016,LW,PIT,3850000,0.053
Connor Murphy,2017,D,CHI,3850000,0.054
Connor Murphy,2021,D,CHI,3850000,0.048
Darren Helm,2018,C,DET,3850000,0.049
Darren Helm,2019,C,DET,3850000,0.047
Connor Murphy,2020,D,CHI,3850000,0.048
Connor Murphy,2018,D,CHI,3850000,0.049
Pavel Kubina,2011,D,PHI,3850000,0.06
Cody Eakin,2016,C,DAL,3850000,0.053
Connor Murphy,2019,D,CHI,3850000,0.047
Cody Eakin,2019,C,WPG,3850000,0.047
Brandon Montour,2020,D,FLA,3850000,0.047
Darren Helm,2016,C,DET,3850000,0.053
Chris Kunitz,2015,LW,PIT,3850000,0.054
Cody Eakin,2017,C,VGK,3850000,0.051
Chris Kunitz,2014,LW,PIT,3850000,0.056
Jaroslav Spacek,2011,D,CAR,3833333,0.06
David Perron,2012,LW,STL,3812500,0.054
David Perron,2013,LW,EDM,3812500,0.059
David Perron,2015,LW,ANA,3812500,0.053
Nick Foligno,2021,LW,BOS,3800000,0.048
Matt Beleskey,2015,LW,BOS,3800000,0.054
Justin Braun,2018,D,SJS,3800000,0.048
Antti Niemi,2014,G,SJS,3800000,0.055
Francois Beauchemin,2011,D,ANA,3800000,0.059
Saku Koivu,2012,C,ANA,3800000,0.054
Justin Braun,2016,D,SJS,3800000,0.052
Antti Niemi,2011,G,SJS,3800000,0.059
Tuomo Ruutu,2011,LW,CAR,3800000,0.059
Antti Niemi,2013,G,SJS,3800000,0.059
Petr Mrazek,2021,G,TOR,3800000,0.047
Matt Beleskey,2016,LW,BOS,3800000,0.052
