PLAYER,YEAR,POS,TEAM,CAP HIT,SALARY PERCENTAGE
Sidney Crosby,2017,C,PIT,8700000,0.116
Sidney Crosby,2020,C,PIT,8700000,0.107
Sidney Crosby,2015,C,PIT,8700000,0.122
Sidney Crosby,2019,C,PIT,8700000,0.107
Sidney Crosby,2018,C,PIT,8700000,0.109
Sidney Crosby,2014,C,PIT,8700000,0.126
Corey Perry,2014,RW,ANA,8625000,0.127
Corey Perry,2016,RW,ANA,8625000,0.118
Corey Perry,2018,RW,ANA,8625000,0.109
Corey Perry,2013,RW,ANA,8625000,0.134
Corey Perry,2017,RW,ANA,8625000,0.115
Corey Perry,2015,RW,ANA,8625000,0.121
Henrik Lundqvist,2015,G,NYR,8500000,0.119
Steven Stamkos,2021,C,TBL,8500000,0.105
Henrik Lundqvist,2018,G,NYR,8500000,0.107
Steven Stamkos,2017,C,TBL,8500000,0.113
Henrik Lundqvist,2019,G,NYR,8500000,0.104
Leon Draisaitl,2017,C,EDM,8500000,0.122
Steven Stamkos,2020,C,TBL,8500000,0.104
Henrik Lundqvist,2014,G,NYR,8500000,0.123
Leon Draisaitl,2020,C,EDM,8500000,0.105
Leon Draisaitl,2018,C,EDM,8500000,0.107
Steven Stamkos,2019,C,TBL,8500000,0.104
Steven Stamkos,2018,C,TBL,8500000,0.107
Leon Draisaitl,2019,C,EDM,8500000,0.104
Henrik Lundqvist,2016,G,NYR,8500000,0.116
Leon Draisaitl,2021,C,EDM,8500000,0.105
Steven Stamkos,2016,C,TBL,8500000,0.117
Henrik Lundqvist,2017,G,NYR,8500000,0.113
Sebastian Aho,2020,LW,CAR,8454000,0.106
Sebastian Aho,2019,LW,CAR,8454000,0.104
Sebastian Aho,2021,LW,CAR,8454000,0.104
Miro Heiskanen,2021,D,DAL,8450000,0.105
Claude Giroux,2017,C,PHI,8275000,0.112
Claude Giroux,2020,C,PHI,8275000,0.102
Claude Giroux,2015,C,PHI,8275000,0.116
Claude Giroux,2019,C,PHI,8275000,0.102
Claude Giroux,2018,C,PHI,8275000,0.104
Claude Giroux,2021,C,PHI,8275000,0.102
Claude Giroux,2014,C,PHI,8275000,0.121
Claude Giroux,2016,C,PHI,8275000,0.113
Jakub Voracek,2017,RW,PHI,8250063,0.112
Jakub Voracek,2020,RW,PHI,8250063,0.101
Jakub Voracek,2019,RW,PHI,8250063,0.101
Jakub Voracek,2018,RW,PHI,8250063,0.104
Jakub Voracek,2021,RW,CBJ,8250063,0.101
Jakub Voracek,2016,RW,PHI,8250063,0.113
Oliver Ekman-Larsson,2020,D,AZ,8250000,0.102
Eric Staal,2015,C,NYR,8250000,0.116
Ryan Getzlaf,2020,C,ANA,8250000,0.101
Oliver Ekman-Larsson,2019,D,AZ,8250000,0.101
Blake Wheeler,2020,RW,WPG,8250000,0.101
Ryan Getzlaf,2014,C,ANA,8250000,0.122
Eric Staal,2011,C,CAR,8250000,0.128
Ryan Getzlaf,2016,C,ANA,8250000,0.113
Ryan Getzlaf,2019,C,ANA,8250000,0.101
Blake Wheeler,2019,RW,WPG,8250000,0.101
Eric Staal,2014,C,CAR,8250000,0.12
Ryan Getzlaf,2018,C,ANA,8250000,0.104
Ryan Getzlaf,2013,C,ANA,8250000,0.128
Eric Staal,2013,C,CAR,8250000,0.128
Eric Staal,2012,C,CAR,8250000,0.118
Ryan Getzlaf,2017,C,ANA,8250000,0.11
Oliver Ekman-Larsson,2021,D,VAN,8250000,0.102
Ryan Getzlaf,2015,C,ANA,8250000,0.116
Blake Wheeler,2021,RW,WPG,8250000,0.101
Jacob Trouba,2021,D,NYR,8000000,0.098
Brent Burns,2019,D,SJS,8000000,0.099
Logan Couture,2019,C,SJS,8000000,0.099
Brent Burns,2018,D,SJS,8000000,0.101
John Carlson,2020,D,WAS,8000000,0.099
Matt Duchene,2021,C,NSH,8000000,0.098
Thomas Chabot,2020,D,OTT,8000000,0.098
Ryan Johansen,2021,C,NSH,8000000,0.098
Jacob Trouba,2019,D,NYR,8000000,0.098
Ryan Johansen,2017,C,NSH,8000000,0.107
John Carlson,2019,D,WAS,8000000,0.1
Brent Burns,2021,D,SJS,8000000,0.098
Logan Couture,2021,C,SJS,8000000,0.098
John Carlson,2018,D,WAS,8000000,0.101
Matt Duchene,2020,C,NSH,8000000,0.098
Thomas Chabot,2021,D,OTT,8000000,0.098
Ryan Johansen,2020,C,NSH,8000000,0.098
Ryan Johansen,2018,C,NSH,8000000,0.101
John Carlson,2021,D,WAS,8000000,0.099
Matt Duchene,2019,C,NSH,8000000,0.098
Ryan Johansen,2019,C,NSH,8000000,0.098
Taylor Hall,2020,LW,BOS,8000000,0.099
Brent Burns,2017,D,SJS,8000000,0.107
Joe Thornton,2017,C,SJS,8000000,0.107
Philip Kessel,2014,RW,TOR,8000000,0.117
Brent Burns,2020,D,SJS,8000000,0.098
Logan Couture,2020,C,SJS,8000000,0.098
Jacob Trouba,2020,D,NYR,8000000,0.104
Victor Hedman,2021,D,TBL,7875000,0.097
Victor Hedman,2017,D,TBL,7875000,0.105
Victor Hedman,2020,D,TBL,7875000,0.097
Victor Hedman,2019,D,TBL,7875000,0.097
Victor Hedman,2018,D,TBL,7875000,0.099
Shea Weber,2017,D,MTL,7857143,0.105
Shea Weber,2020,D,MTL,7857143,0.096
Shea Weber,2018,D,MTL,7857143,0.099
Shea Weber,2019,D,MTL,7857143,0.096
Shea Weber,2015,D,NSH,7857143,0.11
Shea Weber,2016,D,MTL,7857143,0.108
Shea Weber,2014,D,NSH,7857143,0.118
Shea Weber,2012,D,NSH,7857143,0.112
Shea Weber,2013,D,NSH,7857143,0.122
Shea Weber,2021,D,MTL,7857143,0.097
Rick Nash,2015,LW,NYR,7800000,0.109
Evgeny Kuznetsov,2017,C,WAS,7800000,0.104
Evgeny Kuznetsov,2020,C,WAS,7800000,0.096
Rick Nash,2011,LW,CBJ,7800000,0.121
Rick Nash,2014,LW,NYR,7800000,0.113
Evgeny Kuznetsov,2019,C,WAS,7800000,0.097
Evgeny Kuznetsov,2018,C,WAS,7800000,0.098
Rick Nash,2016,LW,NYR,7800000,0.107
Evgeny Kuznetsov,2021,C,WAS,7800000,0.096
Rick Nash,2012,LW,NYR,7800000,0.111
Rick Nash,2017,LW,BOS,7800000,0.104
Rick Nash,2013,LW,NYR,7800000,0.121
Vincent Lecavalier,2012,RW,TBL,7727237,0.11
Vincent Lecavalier,2011,RW,TBL,7727237,0.12
Dustin Byfuglien,2017,D,WPG,7600000,0.101
Dustin Byfuglien,2018,D,WPG,7600000,0.096
Dustin Byfuglien,2016,D,WPG,7600000,0.104
Jared Spurgeon,2021,D,MIN,7575000,0.093
Jared Spurgeon,2020,D,MIN,7575000,0.093
Ryan Suter,2012,D,MIN,7538462,0.107
Zach Parise,2012,LW,MIN,7538462,0.107
Zach Parise,2018,LW,MIN,7538462,0.095
Ryan Suter,2018,D,MIN,7538462,0.095
Zach Parise,2019,LW,MIN,7538462,0.093
Ryan Suter,2019,D,MIN,7538462,0.093
Zach Parise,2014,LW,MIN,7538462,0.11
Ryan Suter,2014,D,MIN,7538462,0.11
Zach Parise,2016,LW,MIN,7538462,0.103
Ryan Suter,2016,D,MIN,7538462,0.103
Zach Parise,2013,LW,MIN,7538462,0.118
Ryan Suter,2013,D,MIN,7538462,0.118
Zach Parise,2017,LW,MIN,7538462,0.101
Ryan Suter,2017,D,MIN,7538462,0.101
Zach Parise,2015,LW,MIN,7538462,0.106
Ryan Suter,2015,D,MIN,7538462,0.106
Zach Parise,2020,LW,MIN,7538462,0.093
Ryan Suter,2020,D,MIN,7538462,0.093
Jason Spezza,2018,C,DAL,7500000,0.094
Dany Heatley,2012,LW,MIN,7500000,0.107
Ryan O'Reilly,2020,C,STL,7500000,0.093
Vladimir Tarasenko,2020,RW,STL,7500000,0.093
Vladimir Tarasenko,2015,RW,STL,7500000,0.106
Pavel Datsyuk,2015,C,DET,7500000,0.106
Dany Heatley,2011,LW,MIN,7500000,0.117
Ryan O'Reilly,2019,C,STL,7500000,0.092
