id,name,position,team,assists,games,games_started,goals,time_on_ice,blocked,penaltymin,plusMinus,wins,losses,gaa,shots_against,goals_against,shutouts,yearid
8460542,Patrik Elias,Forward,New Jersey Devils,22,48,0,14,18:43,14,22,5,0,0,0,0,0,0,2012-2013
8460626,Bryce Salvador,Defenseman,New Jersey Devils,2,39,0,0,21:19,79,22,-12,0,0,0,0,0,0,2012-2013
8460719,Steve Sullivan,Forward,New Jersey Devils,10,42,0,7,14:33,3,24,-12,0,0,0,0,0,0,2012-2013
8464977,Dainius Zubrus,Forward,New Jersey Devils,7,22,0,2,16:47,9,12,-3,0,0,0,0,0,0,2012-2013
8466182,Henrik Tallinder,Defenseman,New Jersey Devils,3,25,0,1,17:34,15,10,0,0,0,0,0,0,0,2012-2013
8466398,Tom Kostopoulos,Forward,New Jersey Devils,0,15,0,1,9:05,3,18,0,0,0,0,0,0,0,2012-2013
8467412,Alexei Ponikarovsky,Forward,New Jersey Devils,5,42,0,4,13:09,15,14,-1,0,0,0,0,0,0,2012-2013
8467428,Krys Barch,Forward,New Jersey Devils,0,22,0,0,5:51,3,44,1,0,0,0,0,0,0,2012-2013
8468501,Anton Volchenkov,Defenseman,New Jersey Devils,4,37,0,1,16:03,50,37,-1,0,0,0,0,0,0,2012-2013
8469454,Ilya Kovalchuk,Forward,New Jersey Devils,20,37,0,11,24:44:00,12,20,-6,0,0,0,0,0,0,2012-2013
8469623,Marek Zidlicky,Defenseman,New Jersey Devils,15,48,0,4,20:59,42,38,-12,0,0,0,0,0,0,2012-2013
8470123,Cam Janssen,Forward,New Jersey Devils,0,4,0,0,3:58,0,2,-1,0,0,0,0,0,0,2012-2013
8470609,Steve Bernier,Forward,New Jersey Devils,7,47,0,8,13:45,15,17,-7,0,0,0,0,0,0,2012-2013
8470920,David Clarkson,Forward,New Jersey Devils,9,48,0,15,17:35,6,78,-6,0,0,0,0,0,0,2012-2013
8471233,Travis Zajac,Forward,New Jersey Devils,13,48,0,7,19:31,10,22,-5,0,0,0,0,0,0,2012-2013
8471636,Tim Sestito,Forward,New Jersey Devils,0,6,0,0,7:52,2,2,1,0,0,0,0,0,0,2012-2013
8471816,Mark Fayne,Defenseman,New Jersey Devils,5,31,0,1,18:05,40,16,6,0,0,0,0,0,0,2012-2013
8471851,Matt D'Agostini,Forward,New Jersey Devils,3,29,0,3,12:18,12,8,-5,0,0,0,0,0,0,2012-2013
8472382,Andy Greene,Defenseman,New Jersey Devils,12,48,0,4,23:02,70,20,12,0,0,0,0,0,0,2012-2013
8472394,Peter Harrold,Defenseman,New Jersey Devils,3,23,0,2,17:37,10,6,-8,0,0,0,0,0,0,2012-2013
8472410,Stephen Gionta,Forward,New Jersey Devils,10,48,0,4,13:01,14,14,2,0,0,0,0,0,0,2012-2013
8473646,Ryan Carter,Forward,New Jersey Devils,9,44,0,6,13:03,15,31,-2,0,0,0,0,0,0,2012-2013
8473944,Matt Anderson,Forward,New Jersey Devils,1,2,0,0,5:46,1,0,1,0,0,0,0,0,0,2012-2013
8474582,Mattias Tedenby,Forward,New Jersey Devils,1,4,0,0,8:59,1,2,0,0,0,0,0,0,0,2012-2013
8474641,Adam Henrique,Forward,New Jersey Devils,5,42,0,11,18:19,21,16,-3,0,0,0,0,0,0,2012-2013
8474681,Andrei Loktionov,Forward,New Jersey Devils,4,28,0,8,14:15,8,4,-2,0,0,0,0,0,0,2012-2013
8475185,Jacob Josefson,Forward,New Jersey Devils,2,22,0,1,12:58,7,2,-10,0,0,0,0,0,0,2012-2013
8475199,Eric Gelinas,Defenseman,New Jersey Devils,0,1,0,0,15:59,0,0,-1,0,0,0,0,0,0,2012-2013
8475248,Alexander Urbom,Defenseman,New Jersey Devils,0,1,0,0,14:11,1,0,-1,0,0,0,0,0,0,2012-2013
8475637,Bobby Butler,Forward,New Jersey Devils,7,34,0,4,10:48,4,4,-8,0,0,0,0,0,0,2012-2013
8476457,Adam Larsson,Defenseman,New Jersey Devils,6,37,0,0,18:06,49,12,4,0,0,0,0,0,0,2012-2013
8476849,Harri Pesonen,Forward,New Jersey Devils,0,4,0,0,9:11,0,2,-1,0,0,0,0,0,0,2012-2013
8476870,Stefan Matteau,Forward,New Jersey Devils,2,17,0,1,9:11,1,6,-1,0,0,0,0,0,0,2012-2013
8455710,Martin Brodeur,Goalie,New Jersey Devils,0,29,29,0,60:35:00,0,0,0,13,9,2.219251,654,65,2,2012-2013
8460704,Johan Hedberg,Goalie,New Jersey Devils,0,19,19,0,58:19:00,0,0,0,6,10,2.761068,435,51,1,2012-2013
8471712,Jeff Frazee,Goalie,New Jersey Devils,0,1,0,0,18:36,0,0,0,0,0,0,3,0,0,2012-2013
8476234,Keith Kinkaid,Goalie,New Jersey Devils,0,1,0,0,25:45:00,0,0,0,0,0,2.330097,13,1,0,2012-2013
8460720,Eric Boulton,Forward,New York Islanders,0,15,0,0,5:40,6,36,-4,0,0,0,0,0,0,2012-2013
8464967,Marty Reasoner,Forward,New York Islanders,5,31,0,0,11:13,14,4,-3,0,0,0,0,0,0,2012-2013
8467931,Matt Carkner,Defenseman,New York Islanders,2,22,0,0,12:35,19,46,-2,0,0,0,0,0,0,2012-2013
8468101,Radek Martinek,Defenseman,New York Islanders,0,13,0,3,16:08,19,4,-2,0,0,0,0,0,0,2012-2013
8468309,Mark Streit,Defenseman,New York Islanders,21,48,0,6,23:20,86,22,-14,0,0,0,0,0,0,2012-2013
8468504,Brad Boyes,Forward,New York Islanders,25,48,0,10,18:12,20,16,-6,0,0,0,0,0,0,2012-2013
8468598,Lubomir Visnovsky,Defenseman,New York Islanders,11,35,0,3,22:48,52,20,12,0,0,0,0,0,0,2012-2013
8469779,Keith Aucoin,Forward,New York Islanders,6,41,0,6,12:29,21,4,-1,0,0,0,0,0,0,2012-2013
8470144,Frans Nielsen,Forward,New York Islanders,23,48,0,6,18:01,47,12,-3,0,0,0,0,0,0,2012-2013
8470644,Colin McDonald,Forward,New York Islanders,10,45,0,7,11:22,9,32,-1,0,0,0,0,0,0,2012-2013
8470852,Matt Moulson,Forward,New York Islanders,29,47,0,15,19:09,28,4,-3,0,0,0,0,0,0,2012-2013
8471701,Joe Finley,Defenseman,New York Islanders,1,16,0,0,11:57,15,20,-5,0,0,0,0,0,0,2012-2013
8473449,Kyle Okposo,Forward,New York Islanders,20,48,0,4,16:57,21,38,-2,0,0,0,0,0,0,2012-2013
8473514,Jesse Joensuu,Forward,New York Islanders,2,7,0,0,10:08,0,6,2,0,0,0,0,0,0,2012-2013
8473546,Michael Grabner,Forward,New York Islanders,5,45,0,16,14:47,19,12,4,0,0,0,0,0,0,2012-2013
8473565,Brian Strait,Defenseman,New York Islanders,4,19,0,0,17:09,21,10,4,0,0,0,0,0,0,2012-2013
8473584,Andrew MacDonald,Defenseman,New York Islanders,9,48,0,3,23:31,123,20,-2,0,0,0,0,0,0,2012-2013
8474066,Thomas Hickey,Defenseman,New York Islanders,3,39,0,1,16:51,47,8,9,0,0,0,0,0,0,2012-2013
8474573,Josh Bailey,Forward,New York Islanders,8,38,0,11,16:22,22,6,7,0,0,0,0,0,0,2012-2013
