id,name,position,team,assists,games,games_started,goals,time_on_ice,blocked,penaltymin,plusMinus,wins,losses,gaa,shots_against,goals_against,shutouts,yearid
8460542,Patrik Elias,Forward,New Jersey Devils,6,16,0,2,15:26,1,10,5,0,0,0,0,0,0,2015-2016
8469462,Tuomo Ruutu,Forward,New Jersey Devils,1,33,0,0,11:30,8,8,-7,0,0,0,0,0,0,2015-2016
8469500,Michael Cammalleri,Forward,New Jersey Devils,24,42,0,14,19:16,13,18,15,0,0,0,0,0,0,2015-2016
8469547,Jordin Tootoo,Forward,New Jersey Devils,5,66,0,4,11:31,18,102,-26,0,0,0,0,0,0,2015-2016
8470740,Lee Stempniak,Forward,New Jersey Devils,32,82,0,19,17:56,34,38,4,0,0,0,0,0,0,2015-2016
8471233,Travis Zajac,Forward,New Jersey Devils,28,74,0,14,19:51,41,25,3,0,0,0,0,0,0,2015-2016
8471311,Tyler Kennedy,Forward,New Jersey Devils,13,50,0,3,13:25,9,14,-14,0,0,0,0,0,0,2015-2016
8471752,Marc-Andre Gragnani,Defenseman,New Jersey Devils,0,4,0,0,14:21,1,2,-2,0,0,0,0,0,0,2015-2016
8472382,Andy Greene,Defenseman,New Jersey Devils,9,82,0,4,22:57,154,26,7,0,0,0,0,0,0,2015-2016
8472410,Stephen Gionta,Forward,New Jersey Devils,10,82,0,1,12:12,36,43,-13,0,0,0,0,0,0,2015-2016
8473482,Jiri Tlusty,Forward,New Jersey Devils,2,30,0,2,13:42,13,6,-1,0,0,0,0,0,0,2015-2016
8473673,David Schlemko,Defenseman,New Jersey Devils,13,67,0,6,18:38,88,16,-22,0,0,0,0,0,0,2015-2016
8474024,Jim O'Brien,Forward,New Jersey Devils,0,4,0,0,13:31,2,2,-4,0,0,0,0,0,0,2015-2016
8474641,Adam Henrique,Forward,New Jersey Devils,20,80,0,30,19:49,56,23,10,0,0,0,0,0,0,2015-2016
8474660,David Warsofsky,Defenseman,New Jersey Devils,1,22,0,1,17:07,23,2,-9,0,0,0,0,0,0,2015-2016
8475151,Kyle Palmieri,Forward,New Jersey Devils,27,82,0,30,17:48,51,39,3,0,0,0,0,0,0,2015-2016
8475185,Jacob Josefson,Forward,New Jersey Devils,10,58,0,4,15:31,40,20,-21,0,0,0,0,0,0,2015-2016
8475186,John Moore,Defenseman,New Jersey Devils,15,73,0,4,19:50,83,28,-12,0,0,0,0,0,0,2015-2016
8475199,Eric Gelinas,Defenseman,New Jersey Devils,5,40,0,1,13:50,23,16,-6,0,0,0,0,0,0,2015-2016
8475274,Seth Helgeson,Defenseman,New Jersey Devils,1,19,0,0,13:57,23,17,-5,0,0,0,0,0,0,2015-2016
8475750,Jon Merrill,Defenseman,New Jersey Devils,4,47,0,1,16:53,54,28,-15,0,0,0,0,0,0,2015-2016
8475758,Devante Smith-Pelly,Forward,New Jersey Devils,11,64,0,14,12:17,23,30,-3,0,0,0,0,0,0,2015-2016
8476200,Paul Thompson,Forward,New Jersey Devils,0,3,0,0,12:31,0,2,0,0,0,0,0,0,0,2015-2016
8476209,Mike Sislo,Forward,New Jersey Devils,1,18,0,3,12:25,6,4,-2,0,0,0,0,0,0,2015-2016
8476370,Blake Pietila,Forward,New Jersey Devils,1,7,0,1,12:02,3,2,0,0,0,0,0,0,0,2015-2016
8476423,Reid Boucher,Forward,New Jersey Devils,11,39,0,8,14:16,14,6,-13,0,0,0,0,0,0,2015-2016
8476457,Adam Larsson,Defenseman,New Jersey Devils,15,82,0,3,22:30,148,77,15,0,0,0,0,0,0,2015-2016
8476769,Bobby Farnham,Forward,New Jersey Devils,2,53,0,8,9:18,19,97,-2,0,0,0,0,0,0,2015-2016
8476772,Brian O'Neill,Forward,New Jersey Devils,2,22,0,0,10:21,9,8,-3,0,0,0,0,0,0,2015-2016
8476870,Stefan Matteau,Forward,New Jersey Devils,1,32,0,1,10:16,7,17,-13,0,0,0,0,0,0,2015-2016
8476923,Damon Severson,Defenseman,New Jersey Devils,20,72,0,1,18:09,41,32,-8,0,0,0,0,0,0,2015-2016
8477010,Joseph Blandisi,Forward,New Jersey Devils,12,41,0,5,15:36,13,34,-14,0,0,0,0,0,0,2015-2016
8477425,Miles Wood,Forward,New Jersey Devils,0,1,0,0,13:06,0,0,0,0,0,0,0,0,0,2015-2016
8477463,Steven Santini,Defenseman,New Jersey Devils,0,1,0,0,14:35,2,2,2,0,0,0,0,0,0,2015-2016
8478401,Pavel Zacha,Forward,New Jersey Devils,2,1,0,0,16:51,0,0,4,0,0,0,0,0,0,2015-2016
8478566,Sergey Kalinin,Forward,New Jersey Devils,7,78,0,8,13:19,30,33,-9,0,0,0,0,0,0,2015-2016
8478584,Vojtech Mozik,Defenseman,New Jersey Devils,0,7,0,0,13:14,5,4,0,0,0,0,0,0,0,2015-2016
8471186,Yann Danis,Goalie,New Jersey Devils,0,2,0,0,25:15:00,0,0,0,0,1,4.752475,18,4,0,2015-2016
8471239,Cory Schneider,Goalie,New Jersey Devils,0,58,58,0,58:50:00,0,0,0,27,25,2.145097,1597,122,4,2015-2016
8475809,Scott Wedgewood,Goalie,New Jersey Devils,0,4,4,0,60:11:00,0,0,0,2,1,1.246106,116,5,1,2015-2016
8476234,Keith Kinkaid,Goalie,New Jersey Devils,0,23,20,0,53:55:00,0,0,0,9,9,2.805471,605,58,2,2015-2016
8460720,Eric Boulton,Forward,New York Islanders,0,6,0,0,9:29,0,2,-3,0,0,0,0,0,0,2015-2016
8469623,Marek Zidlicky,Defenseman,New York Islanders,12,53,0,4,15:35,68,20,5,0,0,0,0,0,0,2015-2016
8470144,Frans Nielsen,Forward,New York Islanders,32,81,0,20,17:43,92,12,1,0,0,0,0,0,0,2015-2016
8470187,Johnny Boychuk,Defenseman,New York Islanders,16,70,0,9,21:22,140,31,17,0,0,0,0,0,0,2015-2016
8470609,Steve Bernier,Forward,New York Islanders,5,24,0,1,11:13,13,9,3,0,0,0,0,0,0,2015-2016
8471362,Mikhail Grabovski,Forward,New York Islanders,16,58,0,9,14:06,26,33,3,0,0,0,0,0,0,2015-2016
8471996,Bracken Kearns,Forward,New York Islanders,1,2,0,0,15:53,2,4,1,0,0,0,0,0,0,2015-2016
8473449,Kyle Okposo,Forward,New York Islanders,42,79,0,22,18:12,39,51,-4,0,0,0,0,0,0,2015-2016
8473504,Cal Clutterbuck,Forward,New York Islanders,8,77,0,15,11:54,34,22,7,0,0,0,0,0,0,2015-2016
8473565,Brian Strait,Defenseman,New York Islanders,5,52,0,1,15:26,65,31,1,0,0,0,0,0,0,2015-2016
8473579,Nikolay Kulemin,Forward,New York Islanders,13,81,0,9,14:03,50,22,13,0,0,0,0,0,0,2015-2016
8474066,Thomas Hickey,Defenseman,New York Islanders,12,62,0,6,17:24,90,30,9,0,0,0,0,0,0,2015-2016
8474573,Josh Bailey,Forward,New York Islanders,20,81,0,12,15:50,25,22,-7,0,0,0,0,0,0,2015-2016
8474612,Travis Hamonic,Defenseman,New York Islanders,16,72,0,5,23:49,128,35,-5,0,0,0,0,0,0,2015-2016
8474709,Matt Martin,Forward,New York Islanders,9,80,0,10,10:33,24,119,2,0,0,0,0,0,0,2015-2016
8475166,John Tavares,Forward,New York Islanders,37,78,0,33,19:59,29,38,6,0,0,0,0,0,0,2015-2016
8475177,Calvin de Haan,Defenseman,New York Islanders,14,72,0,2,20:37,198,20,3,0,0,0,0,0,0,2015-2016
8475181,Nick Leddy,Defenseman,New York Islanders,35,81,0,5,22:37,87,25,-9,0,0,0,0,0,0,2015-2016
8475192,Taylor Beck,Forward,New York Islanders,0,2,0,0,8:29,0,2,0,0,0,0,0,0,0,2015-2016
8475231,Casey Cizikas,Forward,New York Islanders,21,80,0,8,12:40,62,31,4,0,0,0,0,0,0,2015-2016
8475314,Anders Lee,Forward,New York Islanders,21,80,0,15,14:34,31,51,-2,0,0,0,0,0,0,2015-2016
8475754,Brock Nelson,Forward,New York Islanders,14,81,0,26,15:48,50,30,-3,0,0,0,0,0,0,2015-2016
8476386,Shane Prince,Forward,New York Islanders,11,62,0,6,11:13,14,10,5,0,0,0,0,0,0,2015-2016
8476409,Alan Quine,Forward,New York Islanders,0,2,0,1,17:45,3,0,0,0,0,0,0,0,0,2015-2016
