id,name,position,team,assists,games,games_started,goals,time_on_ice,blocked,penaltymin,plusMinus,wins,losses,gaa,shots_against,goals_against,shutouts,yearid
8470619,Brian Boyle,Forward,New Jersey Devils,10,69,0,13,13:17,26,45,-9,0,0,0,0,0,0,2017-2018
8471226,Drew Stafford,Forward,New Jersey Devils,7,59,0,8,13:51,15,10,-20,0,0,0,0,0,0,2017-2018
8471233,Travis Zajac,Forward,New Jersey Devils,14,63,0,12,17:54,38,25,-8,0,0,0,0,0,0,2017-2018
8472382,Andy Greene,Defenseman,New Jersey Devils,10,81,0,3,21:07,188,21,-9,0,0,0,0,0,0,2017-2018
8473546,Michael Grabner,Forward,New Jersey Devils,9,80,0,27,14:49,37,16,11,0,0,0,0,0,0,2017-2018
8473933,Ben Lovejoy,Defenseman,New Jersey Devils,6,57,0,2,16:35,86,25,7,0,0,0,0,0,0,2017-2018
8474034,Pat Maroon,Forward,New Jersey Devils,26,74,0,17,16:32,14,73,1,0,0,0,0,0,0,2017-2018
8474625,Jimmy Hayes,Forward,New Jersey Devils,6,33,0,3,11:55,6,6,-2,0,0,0,0,0,0,2017-2018
8474641,Adam Henrique,Forward,New Jersey Devils,26,81,0,24,17:47,61,20,11,0,0,0,0,0,0,2017-2018
8474774,Dalton Prout,Defenseman,New Jersey Devils,0,4,0,0,13:59,3,13,-2,0,0,0,0,0,0,2017-2018
8475149,Marcus Johansson,Forward,New Jersey Devils,9,29,0,5,15:59,9,14,-11,0,0,0,0,0,0,2017-2018
8475151,Kyle Palmieri,Forward,New Jersey Devils,20,62,0,24,17:18,50,30,-1,0,0,0,0,0,0,2017-2018
8475186,John Moore,Defenseman,New Jersey Devils,11,81,0,7,20:00,105,47,3,0,0,0,0,0,0,2017-2018
8475222,Sami Vatanen,Defenseman,New Jersey Devils,28,72,0,4,22:24,105,40,-7,0,0,0,0,0,0,2017-2018
8475791,Taylor Hall,Forward,New Jersey Devils,54,76,0,39,19:08,44,34,14,0,0,0,0,0,0,2017-2018
8476207,Brian Gibbons,Forward,New Jersey Devils,14,59,0,12,14:25,58,20,10,0,0,0,0,0,0,2017-2018
8476370,Blake Pietila,Forward,New Jersey Devils,0,2,0,0,9:27,0,0,0,0,0,0,0,0,0,2017-2018
8476399,Blake Coleman,Forward,New Jersey Devils,12,79,0,13,14:23,57,50,7,0,0,0,0,0,0,2017-2018
8476474,Stefan Noesen,Forward,New Jersey Devils,14,72,0,13,13:17,41,36,12,0,0,0,0,0,0,2017-2018
8476923,Damon Severson,Defenseman,New Jersey Devils,15,76,0,9,19:40,62,42,-8,0,0,0,0,0,0,2017-2018
8477355,Will Butcher,Defenseman,New Jersey Devils,39,81,0,5,16:03,62,8,1,0,0,0,0,0,0,2017-2018
8477425,Miles Wood,Forward,New Jersey Devils,13,76,0,19,12:27,22,84,-6,0,0,0,0,0,0,2017-2018
8477463,Steven Santini,Defenseman,New Jersey Devils,8,36,0,2,20:16,73,21,0,0,0,0,0,0,0,2017-2018
