id,name,position,team,assists,games,games_started,goals,time_on_ice,blocked,penaltymin,plusMinus,wins,losses,gaa,shots_against,goals_against,shutouts,yearid
8460465,Petr Sykora,Forward,New Jersey Devils,23,82,0,21,15:54,16,40,4,0,0,0,0,0,0,2011-2012
8460542,Patrik Elias,Forward,New Jersey Devils,52,81,0,26,19:51,26,16,-8,0,0,0,0,0,0,2011-2012
8460626,Bryce Salvador,Defenseman,New Jersey Devils,9,82,0,0,20:12,107,66,18,0,0,0,0,0,0,2011-2012
8460720,Eric Boulton,Forward,New Jersey Devils,0,51,0,0,6:35,10,115,-12,0,0,0,0,0,0,2011-2012
8464977,Dainius Zubrus,Forward,New Jersey Devils,27,82,0,17,18:41,41,34,7,0,0,0,0,0,0,2011-2012
8466182,Henrik Tallinder,Defenseman,New Jersey Devils,6,39,0,0,21:18,41,16,-11,0,0,0,0,0,0,2011-2012
8467412,Alexei Ponikarovsky,Forward,New Jersey Devils,19,82,0,14,14:44,36,34,-3,0,0,0,0,0,0,2011-2012
8468501,Anton Volchenkov,Defenseman,New Jersey Devils,9,72,0,2,17:58,125,34,3,0,0,0,0,0,0,2011-2012
8468520,Kurtis Foster,Defenseman,New Jersey Devils,10,51,0,4,15:53,35,35,-13,0,0,0,0,0,0,2011-2012
8469454,Ilya Kovalchuk,Forward,New Jersey Devils,46,77,0,37,24:26:00,18,33,-9,0,0,0,0,0,0,2011-2012
8469542,Stephane Veilleux,Forward,New Jersey Devils,2,22,0,0,9:48,5,15,-2,0,0,0,0,0,0,2011-2012
8469623,Marek Zidlicky,Defenseman,New Jersey Devils,20,63,0,2,21:19,58,34,-6,0,0,0,0,0,0,2011-2012
8470123,Cam Janssen,Forward,New Jersey Devils,1,48,0,0,4:40,3,75,-8,0,0,0,0,0,0,2011-2012
8470609,Steve Bernier,Forward,New Jersey Devils,5,32,0,1,11:57,13,16,6,0,0,0,0,0,0,2011-2012
8470610,Zach Parise,Forward,New Jersey Devils,38,82,0,31,21:29,39,32,-5,0,0,0,0,0,0,2011-2012
8470920,David Clarkson,Forward,New Jersey Devils,16,80,0,30,16:21,19,138,-8,0,0,0,0,0,0,2011-2012
8471233,Travis Zajac,Forward,New Jersey Devils,4,15,0,2,17:22,3,4,-3,0,0,0,0,0,0,2011-2012
8471365,Steven Zalewski,Forward,New Jersey Devils,0,7,0,0,10:33,1,0,-2,0,0,0,0,0,0,2011-2012
8471636,Tim Sestito,Forward,New Jersey Devils,0,18,0,0,8:15,5,7,-5,0,0,0,0,0,0,2011-2012
8471748,Mark Fraser,Defenseman,New Jersey Devils,0,4,0,0,14:20,3,14,-2,0,0,0,0,0,0,2011-2012
8471816,Mark Fayne,Defenseman,New Jersey Devils,13,82,0,4,20:11,88,26,-4,0,0,0,0,0,0,2011-2012
8472355,Rod Pelley,Forward,New Jersey Devils,1,52,0,2,7:45,25,16,-3,0,0,0,0,0,0,2011-2012
8472382,Andy Greene,Defenseman,New Jersey Devils,15,56,0,1,19:30,96,16,3,0,0,0,0,0,0,2011-2012
8472394,Peter Harrold,Defenseman,New Jersey Devils,2,11,0,0,14:36,11,0,0,0,0,0,0,0,0,2011-2012
8472410,Stephen Gionta,Forward,New Jersey Devils,0,1,0,1,10:37,1,0,1,0,0,0,0,0,0,2011-2012
8473592,Vladimir Zharkov,Forward,New Jersey Devils,0,4,0,0,4:52,0,0,-2,0,0,0,0,0,0,2011-2012
8473646,Ryan Carter,Forward,New Jersey Devils,4,72,0,4,10:21,25,90,-13,0,0,0,0,0,0,2011-2012
8473927,Brad Mills,Forward,New Jersey Devils,1,27,0,0,7:10,3,32,-10,0,0,0,0,0,0,2011-2012
8473999,Nick Palmieri,Forward,New Jersey Devils,3,38,0,4,10:35,7,14,-10,0,0,0,0,0,0,2011-2012
8474582,Mattias Tedenby,Forward,New Jersey Devils,5,43,0,1,10:45,1,16,-15,0,0,0,0,0,0,2011-2012
8474641,Adam Henrique,Forward,New Jersey Devils,35,74,0,16,18:09,57,7,8,0,0,0,0,0,0,2011-2012
8475060,Matt Taormina,Defenseman,New Jersey Devils,6,30,0,1,16:32,36,4,6,0,0,0,0,0,0,2011-2012
8475185,Jacob Josefson,Forward,New Jersey Devils,7,41,0,2,12:05,13,6,10,0,0,0,0,0,0,2011-2012
8475248,Alexander Urbom,Defenseman,New Jersey Devils,0,5,0,1,13:35,2,9,1,0,0,0,0,0,0,2011-2012
8476457,Adam Larsson,Defenseman,New Jersey Devils,16,65,0,2,20:37,67,20,-7,0,0,0,0,0,0,2011-2012
8455710,Martin Brodeur,Goalie,New Jersey Devils,0,59,59,0,57:29:00,0,0,0,31,21,2.405318,1472,136,3,2011-2012
8460704,Johan Hedberg,Goalie,New Jersey Devils,0,27,23,0,58:55:00,0,0,0,17,7,2.224783,718,59,4,2011-2012
8458525,Brian Rolston,Forward,New York Islanders,17,70,0,7,14:16,21,14,-5,0,0,0,0,0,0,2011-2012
8458541,Steve Staios,Defenseman,New York Islanders,8,65,0,0,17:04,140,53,-19,0,0,0,0,0,0,2011-2012
8459454,Jay Pandolfo,Forward,New York Islanders,2,62,0,1,10:55,69,8,-14,0,0,0,0,0,0,2011-2012
8464967,Marty Reasoner,Forward,New York Islanders,5,61,0,1,11:36,31,34,-25,0,0,0,0,0,0,2011-2012
8466309,Mike Mottau,Defenseman,New York Islanders,2,35,0,0,14:04,47,15,-11,0,0,0,0,0,0,2011-2012
8467579,Trevor Gillies,Forward,New York Islanders,0,3,0,0,2:52,0,0,-1,0,0,0,0,0,0,2011-2012
8467580,Mark Eaton,Defenseman,New York Islanders,3,62,0,1,16:03,114,10,-17,0,0,0,0,0,0,2011-2012
8468309,Mark Streit,Defenseman,New York Islanders,40,82,0,7,23:22,115,46,-27,0,0,0,0,0,0,2011-2012
