,id,name,position,games,goals,assists
183,8480035,Henri Jokiharju,Defenseman,46.0,3.0,5.0
184,8480045,Ukko-Pekka Luukkonen,Goalie,4.0,0.0,0.0
185,8480196,Jacob Bryson,Defenseman,38.0,1.0,8.0
186,8480839,Rasmus Dahlin,Defenseman,56.0,5.0,18.0
187,8481486,Jimmy Schuldt,Defenseman,,,
188,8481528,Dylan Cozens,Forward,41.0,4.0,9.0
189,8477494,Jonathan Drouin,Forward,44.0,2.0,21.0
190,8475227,Chris Wideman,Defenseman,,,
191,8477476,Artturi Lehkonen,Forward,47.0,7.0,6.0
192,8470642,Shea Weber,Defenseman,48.0,6.0,13.0
193,8471679,Carey Price,Goalie,25.0,0.0,0.0
194,8473507,Jeff Petry,Defenseman,55.0,12.0,30.0
195,8473618,Mathieu Perreault,Forward,56.0,9.0,10.0
196,8474038,Paul Byron,Forward,46.0,5.0,11.0
197,8474596,Jake Allen,Goalie,29.0,0.0,0.0
198,8474884,Mike Hoffman,Forward,52.0,17.0,19.0
199,8475233,David Savard,Defenseman,54.0,1.0,5.0
200,8475279,Ben Chiarot,Defenseman,41.0,1.0,6.0
201,8475726,Tyler Toffoli,Forward,52.0,28.0,16.0
202,8475848,Brendan Gallagher,Forward,35.0,14.0,9.0
203,8476441,Joel Edmundson,Defenseman,55.0,3.0,10.0
204,8476443,Xavier Ouellet,Defenseman,6.0,0.0,0.0
205,8476469,Joel Armia,Forward,41.0,7.0,7.0
206,8476967,Brett Kulak,Defenseman,46.0,2.0,6.0
207,8476975,Cedric Paquette,Forward,47.0,4.0,4.0
208,8476981,Josh Anderson,Forward,52.0,17.0,7.0
209,8478133,Jake Evans,Forward,47.0,3.0,10.0
210,8480018,Nick Suzuki,Forward,56.0,15.0,26.0
211,8480829,Jesperi Kotkaniemi,Forward,56.0,5.0,15.0
212,8481014,Alexander Romanov,Defenseman,54.0,1.0,5.0
213,8481540,Cole Caufield,Forward,10.0,4.0,1.0
214,8475766,Austin Watson,Forward,34.0,3.0,7.0
215,8474207,Nick Holden,Defenseman,17.0,0.0,2.0
216,8474584,Michael Del Zotto,Defenseman,53.0,4.0,9.0
217,8476341,Anton Forsberg,Goalie,8.0,0.0,0.0
218,8476899,Matt Murray,Goalie,27.0,0.0,0.0
219,8476919,Chris Tierney,Forward,55.0,6.0,13.0
220,8477015,Connor Brown,Forward,56.0,21.0,14.0
221,8477384,Josh Brown,Defenseman,26.0,0.0,1.0
222,8477426,Nick Paul,Forward,56.0,5.0,15.0
223,8478400,Colin White,Forward,45.0,10.0,8.0
224,8478469,Thomas Chabot,Defenseman,49.0,6.0,25.0
225,8478949,Kole Sherwood,Forward,6.0,0.0,1.0
226,8479376,Victor Mete,Defenseman,28.0,1.0,4.0
227,8479458,Nikita Zaitsev,Defenseman,55.0,4.0,13.0
228,8480029,Alex Formenton,Forward,20.0,4.0,2.0
229,8480064,Josh Norris,Forward,56.0,17.0,18.0
