id,name,position,team,assists,games,games_started,goals,time_on_ice,blocked,penaltymin,plusMinus,wins,losses,gaa,shots_against,goals_against,shutouts,yearid
8448208,Jaromir Jagr,Forward,New Jersey Devils,43,82,0,24,19:09,9,46,16,0,0,0,0,0,0,2013-2014
8460542,Patrik Elias,Forward,New Jersey Devils,35,65,0,18,17:52,19,30,-4,0,0,0,0,0,0,2013-2014
8460626,Bryce Salvador,Defenseman,New Jersey Devils,3,40,0,1,20:17,50,29,-2,0,0,0,0,0,0,2013-2014
8464977,Dainius Zubrus,Forward,New Jersey Devils,13,82,0,13,17:33,39,46,1,0,0,0,0,0,0,2013-2014
8467545,Michael Ryder,Forward,New Jersey Devils,16,82,0,18,15:46,10,18,-6,0,0,0,0,0,0,2013-2014
8468501,Anton Volchenkov,Defenseman,New Jersey Devils,8,56,0,0,16:47,91,20,3,0,0,0,0,0,0,2013-2014
8469462,Tuomo Ruutu,Forward,New Jersey Devils,16,76,0,8,14:33,34,44,-18,0,0,0,0,0,0,2013-2014
8469622,Ryane Clowe,Forward,New Jersey Devils,19,43,0,7,16:07,19,33,-10,0,0,0,0,0,0,2013-2014
8469623,Marek Zidlicky,Defenseman,New Jersey Devils,30,81,0,12,21:38,81,60,-3,0,0,0,0,0,0,2013-2014
8470123,Cam Janssen,Forward,New Jersey Devils,0,24,0,3,4:54,3,22,3,0,0,0,0,0,0,2013-2014
8470609,Steve Bernier,Forward,New Jersey Devils,9,78,0,3,12:26,23,33,-15,0,0,0,0,0,0,2013-2014
8471220,Rostislav Olesz,Forward,New Jersey Devils,2,10,0,0,11:25,1,0,-1,0,0,0,0,0,0,2013-2014
8471233,Travis Zajac,Forward,New Jersey Devils,30,80,0,18,20:18,25,28,3,0,0,0,0,0,0,2013-2014
8471636,Tim Sestito,Forward,New Jersey Devils,3,16,0,0,9:05,9,2,1,0,0,0,0,0,0,2013-2014
8471816,Mark Fayne,Defenseman,New Jersey Devils,7,72,0,4,18:18,83,30,-5,0,0,0,0,0,0,2013-2014
8472382,Andy Greene,Defenseman,New Jersey Devils,24,82,0,8,24:34:00,129,32,3,0,0,0,0,0,0,2013-2014
8472394,Peter Harrold,Defenseman,New Jersey Devils,4,33,0,0,18:40,29,14,-2,0,0,0,0,0,0,2013-2014
8472410,Stephen Gionta,Forward,New Jersey Devils,7,66,0,4,12:27,25,18,-8,0,0,0,0,0,0,2013-2014
8473646,Ryan Carter,Forward,New Jersey Devils,3,62,0,7,11:19,24,35,-6,0,0,0,0,0,0,2013-2014
8474582,Mattias Tedenby,Forward,New Jersey Devils,0,15,0,1,10:01,2,10,-8,0,0,0,0,0,0,2013-2014
8474641,Adam Henrique,Forward,New Jersey Devils,18,77,0,25,18:03,50,20,3,0,0,0,0,0,0,2013-2014
8474681,Andrei Loktionov,Forward,New Jersey Devils,15,68,0,7,12:59,15,14,-2,0,0,0,0,0,0,2013-2014
8475185,Jacob Josefson,Forward,New Jersey Devils,2,27,0,1,10:07,4,4,0,0,0,0,0,0,0,2013-2014
8475199,Eric Gelinas,Defenseman,New Jersey Devils,22,60,0,7,16:55,20,22,-3,0,0,0,0,0,0,2013-2014
8475750,Jon Merrill,Defenseman,New Jersey Devils,9,52,0,2,19:13,41,12,-3,0,0,0,0,0,0,2013-2014
8476209,Mike Sislo,Forward,New Jersey Devils,0,14,0,0,8:51,4,0,-1,0,0,0,0,0,0,2013-2014
8476227,Joe Whitney,Forward,New Jersey Devils,0,1,0,0,8:00,0,0,0,0,0,0,0,0,0,2013-2014
8476423,Reid Boucher,Forward,New Jersey Devils,5,23,0,2,11:21,5,4,2,0,0,0,0,0,0,2013-2014
8476457,Adam Larsson,Defenseman,New Jersey Devils,2,26,0,1,17:47,37,12,-1,0,0,0,0,0,0,2013-2014
8477059,Damien Brunner,Forward,New Jersey Devils,14,60,0,11,13:32,5,26,-11,0,0,0,0,0,0,2013-2014
8455710,Martin Brodeur,Goalie,New Jersey Devils,0,39,39,0,58:53:00,0,0,0,19,14,2.507819,971,96,3,2013-2014
8471239,Cory Schneider,Goalie,New Jersey Devils,0,45,43,0,59:33:00,0,0,0,16,15,1.970223,1107,88,3,2013-2014
8460720,Eric Boulton,Forward,New York Islanders,2,23,0,2,6:24,6,88,0,0,0,0,0,0,0,2013-2014
8467931,Matt Carkner,Defenseman,New York Islanders,3,53,0,0,11:59,59,149,-10,0,0,0,0,0,0,2013-2014
8468101,Radek Martinek,Defenseman,New York Islanders,3,13,0,0,15:28,9,4,4,0,0,0,0,0,0,2013-2014
8468598,Lubomir Visnovsky,Defenseman,New York Islanders,8,24,0,3,20:31,26,10,-1,0,0,0,0,0,0,2013-2014
8470144,Frans Nielsen,Forward,New York Islanders,33,80,0,25,18:20,47,8,-11,0,0,0,0,0,0,2013-2014
8470153,Pierre-Marc Bouchard,Forward,New York Islanders,5,28,0,4,13:56,6,12,-9,0,0,0,0,0,0,2013-2014
8470598,Thomas Vanek,Forward,New York Islanders,41,78,0,27,19:21,17,48,7,0,0,0,0,0,0,2013-2014
8470644,Colin McDonald,Forward,New York Islanders,10,70,0,8,12:23,15,34,-22,0,0,0,0,0,0,2013-2014
8470852,Matt Moulson,Forward,New York Islanders,28,75,0,23,17:58,43,34,2,0,0,0,0,0,0,2013-2014
8471299,Peter Regin,Forward,New York Islanders,7,61,0,4,11:26,19,20,-5,0,0,0,0,0,0,2013-2014
8473449,Kyle Okposo,Forward,New York Islanders,42,71,0,27,20:26,35,51,-9,0,0,0,0,0,0,2013-2014
8473504,Cal Clutterbuck,Forward,New York Islanders,7,73,0,12,14:19,14,50,-9,0,0,0,0,0,0,2013-2014
8473546,Michael Grabner,Forward,New York Islanders,14,64,0,12,14:11,25,12,-10,0,0,0,0,0,0,2013-2014
8473565,Brian Strait,Defenseman,New York Islanders,6,47,0,3,17:57,86,14,-14,0,0,0,0,0,0,2013-2014
8473584,Andrew MacDonald,Defenseman,New York Islanders,24,82,0,4,24:37:00,242,50,-22,0,0,0,0,0,0,2013-2014
8474066,Thomas Hickey,Defenseman,New York Islanders,18,82,0,4,18:52,132,34,5,0,0,0,0,0,0,2013-2014
8474236,Brett Gallant,Forward,New York Islanders,0,4,0,0,6:53,0,17,0,0,0,0,0,0,0,2013-2014
8474573,Josh Bailey,Forward,New York Islanders,30,77,0,8,15:50,29,26,-8,0,0,0,0,0,0,2013-2014
8474604,Aaron Ness,Defenseman,New York Islanders,2,20,0,1,14:47,26,10,-13,0,0,0,0,0,0,2013-2014
8474612,Travis Hamonic,Defenseman,New York Islanders,15,69,0,3,25:00:00,132,68,2,0,0,0,0,0,0,2013-2014
8474659,Matt Donovan,Defenseman,New York Islanders,14,52,0,2,18:04,72,26,-9,0,0,0,0,0,0,2013-2014
8474709,Matt Martin,Forward,New York Islanders,6,79,0,8,11:53,42,90,-11,0,0,0,0,0,0,2013-2014
8475166,John Tavares,Forward,New York Islanders,42,59,0,24,21:14,19,40,-6,0,0,0,0,0,0,2013-2014
8475177,Calvin de Haan,Defenseman,New York Islanders,13,51,0,3,21:01,104,30,-7,0,0,0,0,0,0,2013-2014
8475231,Casey Cizikas,Forward,New York Islanders,10,80,0,6,13:22,48,30,-12,0,0,0,0,0,0,2013-2014
8475314,Anders Lee,Forward,New York Islanders,5,22,0,9,15:43,2,14,3,0,0,0,0,0,0,2013-2014
8475754,Brock Nelson,Forward,New York Islanders,12,72,0,14,14:15,38,12,-10,0,0,0,0,0,0,2013-2014
8476086,Justin Johnson,Forward,New York Islanders,0,2,0,0,6:29,0,7,-1,0,0,0,0,0,0,2013-2014
8476367,John Persson,Forward,New York Islanders,0,10,0,1,12:02,6,6,-4,0,0,0,0,0,0,2013-2014
8476429,Scott Mayfield,Defenseman,New York Islanders,0,5,0,0,17:22,8,7,-3,0,0,0,0,0,0,2013-2014
8476445,Johan Sundstrom,Forward,New York Islanders,1,11,0,0,8:39,2,6,0,0,0,0,0,0,0,2013-2014
8476458,Ryan Strome,Forward,New York Islanders,11,37,0,7,15:11,8,8,-1,0,0,0,0,0,0,2013-2014
8476765,Mike Halmo,Forward,New York Islanders,0,20,0,1,9:29,4,32,-1,0,0,0,0,0,0,2013-2014
8477814,Kevin Czuczman,Defenseman,New York Islanders,2,13,0,0,19:32,13,14,-5,0,0,0,0,0,0,2013-2014
8460705,Evgeni Nabokov,Goalie,New York Islanders,0,40,39,0,56:21:00,0,0,0,15,14,2.741509,1085,103,4,2013-2014
8474690,Kevin Poulin,Goalie,New York Islanders,0,28,26,0,58:02:00,0,0,0,11,16,3.285514,820,89,0,2013-2014
8475195,Anders Nilsson,Goalie,New York Islanders,0,19,17,0,57:57:00,0,0,0,8,7,3.105797,548,57,0,2013-2014
8465025,Arron Asham,Forward,New York Rangers,0,6,0,0,7:28,1,14,-5,0,0,0,0,0,0,2013-2014
8466378,Martin St. Louis,Forward,New York Rangers,39,81,0,30,20:56,38,10,13,0,0,0,0,0,0,2013-2014
8467389,Brad Richards,Forward,New York Rangers,31,82,0,20,18:41,43,18,-8,0,0,0,0,0,0,2013-2014
8467881,Taylor Pyatt,Forward,New York Rangers,1,56,0,4,11:34,28,20,-24,0,0,0,0,0,0,2013-2014
8468575,Dominic Moore,Forward,New York Rangers,12,73,0,6,11:42,24,18,0,0,0,0,0,0,0,2013-2014
8470041,Rick Nash,Forward,New York Rangers,13,65,0,26,17:01,29,36,10,0,0,0,0,0,0,2013-2014
8470619,Brian Boyle,Forward,New York Rangers,12,82,0,6,12:45,54,56,1,0,0,0,0,0,0,2013-2014
8470630,Kevin Klein,Defenseman,New York Rangers,7,77,0,2,17:19,137,21,-7,0,0,0,0,0,0,2013-2014
8470666,Daniel Carcillo,Forward,New York Rangers,1,57,0,4,9:16,21,100,-1,0,0,0,0,0,0,2013-2014
8471339,Ryan Callahan,Forward,New York Rangers,19,65,0,17,18:38,60,24,1,0,0,0,0,0,0,2013-2014
8471678,Benoit Pouliot,Forward,New York Rangers,21,80,0,15,13:26,18,56,10,0,0,0,0,0,0,2013-2014
8471686,Marc Staal,Defenseman,New York Rangers,11,72,0,3,20:31,84,24,-1,0,0,0,0,0,0,2013-2014
8471873,Anton Stralman,Defenseman,New York Rangers,12,81,0,1,19:24,64,26,9,0,0,0,0,0,0,2013-2014
8471958,Dan Girardi,Defenseman,New York Rangers,19,81,0,5,23:07,174,16,6,0,0,0,0,0,0,2013-2014
8473432,Derek Dorsett,Forward,New York Rangers,4,51,0,4,11:01,27,128,-1,0,0,0,0,0,0,2013-2014
8473544,Derick Brassard,Forward,New York Rangers,27,81,0,18,15:47,19,46,2,0,0,0,0,0,0,2013-2014
8473932,Darroll Powe,Forward,New York Rangers,0,1,0,0,8:33,0,0,-2,0,0,0,0,0,0,2013-2014
8473992,Justin Falk,Defenseman,New York Rangers,2,21,0,0,11:55,28,20,-5,0,0,0,0,0,0,2013-2014
8474151,Ryan McDonagh,Defenseman,New York Rangers,29,77,0,14,24:49:00,131,36,11,0,0,0,0,0,0,2013-2014
8474176,Carl Hagelin,Forward,New York Rangers,16,72,0,17,15:31,33,44,8,0,0,0,0,0,0,2013-2014
8474584,Michael Del Zotto,Defenseman,New York Rangers,13,67,0,3,17:12,75,18,-9,0,0,0,0,0,0,2013-2014
8474613,Derek Stepan,Forward,New York Rangers,40,82,0,17,18:03,46,18,12,0,0,0,0,0,0,2013-2014
8474850,Brandon Mashinter,Forward,New York Rangers,0,6,0,0,4:34,1,10,-1,0,0,0,0,0,0,2013-2014
8475184,Chris Kreider,Forward,New York Rangers,20,66,0,17,15:43,18,72,14,0,0,0,0,0,0,2013-2014
8475186,John Moore,Defenseman,New York Rangers,11,74,0,4,15:19,57,25,7,0,0,0,0,0,0,2013-2014
8475692,Mats Zuccarello,Forward,New York Rangers,40,77,0,19,17:08,41,32,11,0,0,0,0,0,0,2013-2014
8475795,Dylan McIlrath,Defenseman,New York Rangers,0,2,0,0,7:01,1,7,-1,0,0,0,0,0,0,2013-2014
8475855,Jesper Fast,Forward,New York Rangers,0,11,0,0,11:17,7,2,-5,0,0,0,0,0,0,2013-2014
8476244,Raphael Diaz,Defenseman,New York Rangers,13,63,0,2,17:58,127,16,-2,0,0,0,0,0,0,2013-2014
8476468,J.T. Miller,Forward,New York Rangers,3,30,0,3,11:27,17,18,-6,0,0,0,0,0,0,2013-2014
8477214,Conor Allen,Defenseman,New York Rangers,0,3,0,0,14:26,1,0,-1,0,0,0,0,0,0,2013-2014
8462047,Martin Biron,Goalie,New York Rangers,0,2,1,0,35:19:00,0,0,0,0,1,7.645116,38,9,0,2013-2014
8468685,Henrik Lundqvist,Goalie,New York Rangers,0,63,62,0,58:01:00,0,0,0,33,24,2.36368,1810,144,5,2013-2014
8475660,Cam Talbot,Goalie,New York Rangers,0,21,19,0,57:39:00,0,0,0,12,6,1.635463,560,33,3,2013-2014
8459628,Hal Gill,Defenseman,Philadelphia Flyers,0,6,0,0,14:50,6,2,0,0,0,0,0,0,0,2013-2014
8459670,Kimmo Timonen,Defenseman,Philadelphia Flyers,29,77,0,6,20:19,112,32,5,0,0,0,0,0,0,2013-2014
8467329,Vincent Lecavalier,Forward,Philadelphia Flyers,17,69,0,20,15:11,19,44,-16,0,0,0,0,0,0,2013-2014
8467925,Adam Hall,Forward,Philadelphia Flyers,5,80,0,4,9:50,46,23,-15,0,0,0,0,0,0,2013-2014
8468309,Mark Streit,Defenseman,Philadelphia Flyers,34,82,0,10,20:38,108,44,3,0,0,0,0,0,0,2013-2014
8468486,Scott Hartnell,Forward,Philadelphia Flyers,32,78,0,20,16:52,39,103,11,0,0,0,0,0,0,2013-2014
8470171,Max Talbot,Forward,Philadelphia Flyers,19,81,0,8,16:09,46,45,5,0,0,0,0,0,0,2013-2014
8470232,Kris Newbury,Forward,Philadelphia Flyers,1,4,0,0,5:01,0,7,0,0,0,0,0,0,0,2013-2014
8470601,Braydon Coburn,Defenseman,Philadelphia Flyers,12,82,0,5,22:26,115,63,-6,0,0,0,0,0,0,2013-2014
8470816,Jay Rosehill,Forward,Philadelphia Flyers,0,34,0,2,4:56,4,90,-8,0,0,0,0,0,0,2013-2014
8471236,Andrej Meszaros,Defenseman,Philadelphia Flyers,15,52,0,7,17:47,64,40,5,0,0,0,0,0,0,2013-2014
8471269,Nicklas Grossmann,Defenseman,Philadelphia Flyers,13,78,0,1,19:06,174,55,-6,0,0,0,0,0,0,2013-2014
8471703,Steve Downie,Forward,Philadelphia Flyers,20,62,0,4,14:06,18,106,1,0,0,0,0,0,0,2013-2014
8471762,Chris VandeVelde,Forward,Philadelphia Flyers,1,18,0,0,7:43,6,6,-3,0,0,0,0,0,0,2013-2014
